"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+6.22500000000E+009, -3.82489796198E-001, +0.00000000000E+000
+6.28000000000E+009, -2.87622054225E-001, +0.00000000000E+000
+6.33500000000E+009, -2.52736528199E-001, +0.00000000000E+000
+6.39000000000E+009, -2.80798225078E-001, +0.00000000000E+000
+6.44500000000E+009, -2.72555635306E-001, +0.00000000000E+000
+6.50000000000E+009, -3.87311289933E-001, +0.00000000000E+000
+6.55500000000E+009, -2.66406063411E-001, +0.00000000000E+000
+6.61000000000E+009, -2.68861488054E-001, +0.00000000000E+000
+6.66500000000E+009, -3.96826611188E-001, +0.00000000000E+000
+6.72000000000E+009, -2.17657198782E-001, +0.00000000000E+000
+6.77500000000E+009, -4.83284926294E-001, +0.00000000000E+000
+6.83000000000E+009, -2.44228195728E-001, +0.00000000000E+000
+6.88500000000E+009, -3.10758892213E-001, +0.00000000000E+000
+6.94000000000E+009, -3.74595818596E-001, +0.00000000000E+000
+6.99500000000E+009, -2.94018781076E-001, +0.00000000000E+000
+7.05000000000E+009, -4.10344114972E-001, +0.00000000000E+000
+7.10500000000E+009, -3.24709378603E-001, +0.00000000000E+000
+7.16000000000E+009, -2.49496224311E-001, +0.00000000000E+000
+7.21500000000E+009, -4.09364784717E-001, +0.00000000000E+000
+7.27000000000E+009, -3.40877015909E-001, +0.00000000000E+000
+7.32500000000E+009, -4.10912271131E-001, +0.00000000000E+000
+7.38000000000E+009, -3.65387750752E-001, +0.00000000000E+000
+7.43500000000E+009, -2.33952324169E-001, +0.00000000000E+000
+7.49000000000E+009, -4.46717519651E-001, +0.00000000000E+000
+7.54500000000E+009, -3.34522036283E-001, +0.00000000000E+000
+7.60000000000E+009, -3.82349393555E-001, +0.00000000000E+000
+7.65500000000E+009, -2.79547398577E-001, +0.00000000000E+000
+7.71000000000E+009, -2.87968781719E-001, +0.00000000000E+000
+7.76500000000E+009, -4.26546056804E-001, +0.00000000000E+000
+7.82000000000E+009, -2.55849951597E-001, +0.00000000000E+000
+7.87500000000E+009, -4.33054004846E-001, +0.00000000000E+000
